50AA01-0820-4266	
This data for reference only	
1758	0.6301
1759	0.6301
1760	0.6302
1761	0.6302
1762	0.6302
1763	0.6303
1764	0.6304
1765	0.6304
1766	0.6305
1767	0.6305
1768	0.6305
1769	0.6306
1770	0.6307
1771	0.6307
1772	0.6308
1773	0.6309
1774	0.6310
1775	0.6310
1776	0.6310
1777	0.6311
1778	0.6312
1779	0.6312
1780	0.6313
1781	0.6313
1782	0.6314
1783	0.6315
1784	0.6316
1785	0.6317
1786	0.6317
1787	0.6318
1788	0.6319
1789	0.6319
1790	0.6320
1791	0.6321
1792	0.6321
1793	0.6322
1794	0.6323
1795	0.6323
1796	0.6324
1797	0.6324
1798	0.6325
1799	0.6326
1800	0.6327
1801	0.6327
1802	0.6328
1803	0.6329
1804	0.6330
1805	0.6331
1806	0.6331
1807	0.6326
1808	0.6326
1809	0.6326
1810	0.6327
1811	0.6328
1812	0.6329
1813	0.6330
1814	0.6330
1815	0.6331
1816	0.6332
1817	0.6332
1818	0.6333
1819	0.6328
1820	0.6328
1821	0.6329
1822	0.6330
1823	0.6331
1824	0.6332
1825	0.6332
1826	0.6333
1827	0.6334
1828	0.6334
1829	0.6335
1830	0.6336
1831	0.6337
1832	0.6331
1833	0.6332
1834	0.6333
1835	0.6334
1836	0.6335
1837	0.6336
1838	0.6338
1839	0.6339
1840	0.6340
1841	0.6341
1842	0.6342
1843	0.6343
1844	0.6337
1845	0.6339
1846	0.6340
1847	0.6341
1848	0.6342
1849	0.6343
1850	0.6344
1851	0.6345
1852	0.6346
1853	0.6346
1854	0.6347
1855	0.6348
1856	0.6349
1857	0.6350
1858	0.6350
1859	0.6351
1860	0.6351
1861	0.6351
1862	0.6352
1863	0.6353
1864	0.6353
1865	0.6354
1866	0.6355
1867	0.6355
1868	0.6356
1869	0.6357
1870	0.6359
1871	0.6360
1872	0.6360
1873	0.6362
1874	0.6363
1875	0.6364
1876	0.6359
1877	0.6360
1878	0.6360
1879	0.6361
1880	0.6362
1881	0.6362
1882	0.6363
1883	0.6364
1884	0.6364
1885	0.6364
1886	0.6365
1887	0.6365
1888	0.6365
1889	0.6366
1890	0.6366
1891	0.6365
1892	0.6366
1893	0.6366
1894	0.6367
1895	0.6367
1896	0.6367
1897	0.6368
1898	0.6368
1899	0.6369
1900	0.6369
1901	0.6371
1902	0.6371
1903	0.6372
1904	0.6373
1905	0.6374
1906	0.6375
1907	0.6375
1908	0.6376
1909	0.6377
1910	0.6378
1911	0.6379
1912	0.6379
1913	0.6380
1914	0.6381
1915	0.6382
1916	0.6382
1917	0.6383
1918	0.6384
1919	0.6384
1920	0.6385
1921	0.6386
1922	0.6387
1923	0.6387
1924	0.6388
1925	0.6389
1926	0.6383
1927	0.6383
1928	0.6384
1929	0.6385
1930	0.6385
1931	0.6386
1932	0.6386
1933	0.6388
1934	0.6389
1935	0.6389
1936	0.6389
1937	0.6391
1938	0.6392
1939	0.6392
1940	0.6392
1941	0.6393
1942	0.6394
1943	0.6395
1944	0.6396
1945	0.6397
1946	0.6398
1947	0.6398
1948	0.6400
1949	0.6400
1950	0.6401
1951	0.6402
1952	0.6403
1953	0.6404
1954	0.6405
1955	0.6406
1956	0.6407
1957	0.6407
1958	0.6409
1959	0.6404
1960	0.6405
1961	0.6406
1962	0.6407
1963	0.6408
1964	0.6409
1965	0.6410
1966	0.6411
1967	0.6413
1968	0.6414
1969	0.6416
1970	0.6417
1971	0.6418
1972	0.6419
1973	0.6421
1974	0.6423
1975	0.6424
1976	0.6418
1977	0.6420
1978	0.6421
1979	0.6423
1980	0.6425
1981	0.6426
1982	0.6428
1983	0.6429
1984	0.6431
1985	0.6433
1986	0.6434
1987	0.6436
1988	0.6438
1989	0.6440
1990	0.6441
1991	0.6443
1992	0.6438
1993	0.6440
1994	0.6442
1995	0.6444
1996	0.6445
1997	0.6447
1998	0.6449
1999	0.6451
2000	0.6452
2001	0.6454
2002	0.6456
2003	0.6452
2004	0.6453
2005	0.6455
2006	0.6457
2007	0.6459
2008	0.6455
2009	0.6457
2010	0.6458
2011	0.6460
2012	0.6462
2013	0.6464
2014	0.6466
2015	0.6468
2016	0.6464
2017	0.6466
2018	0.6468
2019	0.6470
2020	0.6472
2021	0.6474
2022	0.6476
2023	0.6471
2024	0.6473
2025	0.6475
2026	0.6477
2027	0.6479
2028	0.6474
2029	0.6476
2030	0.6479
2031	0.6480
2032	0.6482
2033	0.6484
2034	0.6486
2035	0.6487
2036	0.6483
2037	0.6484
2038	0.6486
2039	0.6488
2040	0.6490
2041	0.6491
2042	0.6493
2043	0.6488
2044	0.6489
2045	0.6491
2046	0.6492
2047	0.6494
2048	0.6489
2049	0.6490
2050	0.6491
2051	0.6493
2052	0.6494
2053	0.6496
2054	0.6497
2055	0.6498
2056	0.6493
2057	0.6494
2058	0.6495
2059	0.6496
2060	0.6497
2061	0.6499
2062	0.6500
2063	0.6502
2064	0.6503
2065	0.6504
2066	0.6499
2067	0.6500
2068	0.6501
2069	0.6502
2070	0.6503
2071	0.6505
2072	0.6506
2073	0.6508
2074	0.6509
2075	0.6510
2076	0.6505
2077	0.6506
2078	0.6508
2079	0.6509
2080	0.6510
